0,0.028958454,0.455178822,,,4000,4743,-100
42,0.011964492,-0.404618157,,,4000,4743,100
73,0.031356491,0.625548361,,,4000,4743,-100
105,0.016471561,-0.465154052,,,4500,5243,-100
146,0.031674683,0.37080785,,,4500,5243,100
182,0.029418785,-0.062663833,,,4500,5243,-100
201,0.042979971,0.71374663,,,5000,5743,-100
226,0.059923825,0.677754166,,,5000,5743,100
262,0.038598454,-0.592371423,,,5000,5743,-100
293,0.022326885,-0.524889318,,,5500,6243,-100
325,0.058915322,1.143388665,,,5500,6243,100
359,0.061761819,0.083720499,,,5500,6243,-100
400,0.024810557,-0.901250297,,,6000,6743,-100
429,0.054464393,1.022546063,,,6000,6743,100
462,0.083516167,0.880356785,,,6000,6743,-100
497,0.068805792,-0.42029642,,,6500,7243,-100
531,0.096497449,0.814460491,,,6500,7243,100
561,0.126522142,1.000823102,,,6500,7243,-100
595,0.115016786,-0.338392811,,,7000,7743,-100
630,0.111610387,-0.097325689,,,7000,7743,100
660,0.159953419,1.6114344,,,7000,7743,-100
696,0.196594137,1.017797722,,,7500,8243,-100
728,0.139846523,-1.773362932,,,7500,8243,100
759,0.210737175,2.286795224,,,7500,8243,-100
799,0.111023354,-2.49284554,,,8000,8743,-100
828,0.163856296,1.821825579,,,8000,8743,100
863,0.158596653,-0.150275509,,,8000,8743,-100
893,0.157963234,-0.021113955,,,8500,9243,-100
930,0.136742916,-0.573522121,,,8500,9243,100
956,0.21297996,2.932194012,,,8500,9243,-100
999,0.134181814,-1.832515024,,,9000,9743,-100
1024,0.263595112,5.176531918,,,9000,9743,100
1064,0.081039723,-4.563884718,,,9000,9743,-100
1095,0.202459863,3.916778702,,,9500,10243,-100
1142,0.089192343,-2.409947225,,,9500,10243,100
1191,0.083961515,-0.106751606,,,9500,10243,-100
1210,0.104379511,1.074631372,,,10000,10743,-100
1238,0.035313858,-2.46663047,,,10000,10743,100
1265,0.035204179,-0.004062163,,,10000,10743,-100
1297,0.031422672,-0.118172086,,,10500,11243,-100
1332,0.061066065,0.846954062,,,10500,11243,100
1360,0.098004463,1.319228531,,,10500,11243,-100
1393,0.022296145,-2.29419146,,,11000,11743,-100
1427,0.017387347,-0.144376434,,,11000,11743,100
1459,0.052086644,1.084353038,,,11000,11743,-100
1499,0.031336873,-0.518744275,,,11500,12243,-100
1531,0.023001361,-0.260484754,,,11500,12243,100
1565,0.065195233,1.240996248,,,11500,12243,-100
1597,0.012055469,-1.66061764,,,12000,12743,-100
1632,0.031323855,0.550525329,,,12000,12743,100
1667,0.048942406,0.50338717,,,12000,12743,-100
1701,0.024117153,-0.730154509,,,12500,13243,-100
1734,0.087381541,1.917102681,,,12500,13243,100
1767,0.070855389,-0.500792495,,,12500,13243,-100
1802,0.063132549,-0.22065258,,,13000,13743,-100
1838,0.075734656,0.350058531,,,13000,13743,100
1875,0.096408213,0.558744806,,,13000,13743,-100
1899,0.069136321,-1.136328846,,,13500,14243,-100
1934,0.053508143,-0.446519391,,,13500,14243,100
